Team,M,xG,xG_per_game,Original_Tier,Adjusted_Tier
Arsenal,9,22.54,2.5044444444444443,1,1
Liverpool,9,20.74,2.304444444444444,2,2
Manchester City,9,20.43,2.27,2,2
Aston Villa,10,22.07,2.207,2,2
Chelsea,9,18.93,2.1033333333333335,3,5
Bournemouth,9,18.59,2.0655555555555556,4,5
Brentford,10,20.42,2.0420000000000003,5,5
Tottenham,10,20.34,2.034,5,5
Brighton,9,16.35,1.8166666666666669,6,7
Newcastle United,9,15.96,1.7733333333333334,7,7
Crystal Palace,10,17.65,1.765,7,7
West Ham,10,17.2,1.72,7,7
Southampton,9,14.36,1.5955555555555554,8,9
Fulham,10,15.87,1.587,9,9
Manchester United,10,15.82,1.582,9,9
Nottingham Forest,9,14.04,1.5599999999999998,9,9
Leicester,10,12.69,1.269,10,11
Wolverhampton Wanderers,9,10.89,1.21,11,11
Ipswich,10,12.0,1.2,11,11
Everton,9,10.43,1.1588888888888889,11,11
